"Agence" "Typologie_gare" "Niveau_service" "Code_UIC" "Gare" "Infos" "Deplacement" "Proprete" "Agreable" "Satisfaction" "Services" "moyenne"
"51" "Est Européen" 123 2 182014 "COLMAR" 7.92 7.97 7.54 7.57 7.67 7.29 7.66
"52" "Est Européen" 123 2 142109 "LORRAINE TGV" 9.03 8.92 8.94 8.57 7.98 8.14 8.59666666666667
"53" "Est Européen" 24 3 192039 "METZ VILLE" 8.36 8.75 8.09 7.89 7.72 7.83 8.10666666666667
"54" "Est Européen" 123 2 147322 "MEUSE TGV" 8.84 8.25 8.81 8.46 8.17 6.81 8.22333333333333
"55" "Est Européen" 36 3 182063 "MULHOUSE VILLE" 8.58 8.69 7.89 7.78 7.24 8.18 8.06
"56" "Est Européen" 36 3 141002 "NANCY" 8.63 8.97 8.38 8.25 8.12 8.51 8.47666666666667
"57" "Est Européen" 36 2 171009 "REIMS" 8.62 8.95 8.46 8.23 7.73 7.67 8.27666666666667
"58" "Est Européen" 24 3 212027 "STRASBOURG" 8.42 8.73 8.09 8.02 7.64 7.58 8.08
"59" "Est Européen" 123 2 191007 "THIONVILLE" 8.35 8.65 7.87 7.95 7.37 7.82 8.00166666666667
"60" "Grand Sud" 123 2 781278 "AGDE" 8.55 7.93 8.2 8.33 8.02 6.79 7.97
"61" "Grand Sud" 24 3 319012 "AIX EN PROVENCE TGV" 8.3 8.3 8.69 8.04 8.14 7.91 8.23
"62" "Grand Sud" 123 2 757674 "ANTIBES" 8.15 8.41 7.95 7.88 7.84 8.05 8.04666666666667
"63" "Grand Sud" 36 3 318964 "AVIGNON TGV" 8.52 8.13 8.62 8.29 8.03 7.88 8.245
"64" "Grand Sud" 123 2 781005 "BEZIERS" 8.2 8.3 7.95 7.61 6.75 7.51 7.72
"65" "Grand Sud" 123 2 757625 "CANNES" 7.87 8.59 7.68 7.54 7.29 7.59 7.76
"66" "Grand Sud" 123 2 615286 "CARCASSONNE" 8.41 8.48 7.77 7.62 7.05 7.8 7.855
"67" "Grand Sud" 123 2 755447 "LES ARCS DRAGUIGNAN" 7.94 7.88 8.1 7.93 7.4 7.32 7.76166666666667
"68" "Grand Sud" 123 2 671339 "LOURDES" 8.64 8.9 8.81 8.39 7.45 8.04 8.37166666666667
"69" "Grand Sud" 123 2 756403 "MONACO" 8.48 8.8 8.97 8.6 8.18 7.73 8.46
"70" "Grand Sud" 123 2 611244 "MONTAUBAN VILLE BOURBON" 8.4 8.34 8.35 8.28 7.95 8.02 8.22333333333333
"71" "Grand Sud" 24 3 773002 "MONTPELLIER SAINT ROCH" 8.23 8.44 8.29 8.19 8.11 7.92 8.19666666666667
"72" "Grand Sud" 123 2 781104 "NARBONNE" 8.19 8.37 7.99 8.08 7.88 7.84 8.05833333333333
"73" "Grand Sud" 24 3 756056 "NICE VILLE" 8.16 8.69 8.24 8.1 7.66 7.78 8.105
"74" "Grand Sud" 123 2 775007 "NIMES" 8.56 8.8 8.37 7.67 7.71 7.79 8.15
"75" "Grand Sud" 123 2 773200 "SETE" 8.41 7.8 8.2 7.93 7.32 7.3 7.82666666666667
"76" "Grand Sud" 123 2 757526 "ST RAPHAEL VALESCURE" 7.78 8.06 8.17 8.34 7.79 7.95 8.015
"77" "Grand Sud" 123 2 755009 "TOULON" 7.93 8.01 7.83 7.78 7.49 7.37 7.735
"78" "Grand Sud" 24 3 611004 "TOULOUSE MATABIAU" 8.39 8.69 8.13 8.1 7.51 7.94 8.12666666666667
"79" "Manche Nord" 123 3 313874 "AMIENS" 8.27 8.51 7.88 7.36 7.12 7.61 7.79166666666667
"80" "Manche Nord" 123 2 444000 "CAEN" 8.59 8.34 8.05 7.55 7.09 7.46 7.84666666666667
"81" "Manche Nord" 123 2 281071 "CALAIS FRETHUN" 8.49 7.64 8.85 7.12 6.76 7.1 7.66
"82" "Manche Nord" 123 2 444877 "CHERBOURG" 8.19 8.18 8.01 7.93 7.25 7.46 7.83666666666667
"83" "Manche Nord" 123 2 276691 "COMPIEGNE" 8.52 8.43 8.22 7.49 7.14 7.7 7.91666666666667
"84" "Manche Nord" 123 2 345009 "DOUAI" 8.54 8.53 7.75 7.76 7.15 7.86 7.93166666666667
"85" "Manche Nord" 123 2 281006 "DUNKERQUE" 9.18 9.33 8.1 6.99 6.93 8.06 8.09833333333333
"86" "Manche Nord" 123 2 387001 "EVREUX NORMANDIE" 8.42 8.77 8.11 7.9 7.12 7.56 7.98
"87" "Manche Nord" 123 2 413013 "LE HAVRE" 8.41 8.6 7.62 8 6.94 7.65 7.87
"88" "Manche Nord" 123 2 345025 "LENS" 8.5 8.97 8.23 8.07 7.48 8.15 8.23333333333333
"89" "Manche Nord" 24 3 223263 "LILLE EUROPE" 8.47 8.29 7.85 7.09 6.69 7.34 7.62166666666667
"90" "Manche Nord" 24 3 286005 "LILLE FLANDRES" 7.99 8.29 7.82 7.54 7.08 7.61 7.72166666666667
"91" "Manche Nord" 36 3 411017 "ROUEN RIVE DROITE" 8.43 8.57 8.33 7.56 7.59 7.74 8.03666666666667
"92" "Manche Nord" 123 2 313882 "TGV HAUTE PICARDIE" 8.81 8.59 8.69 7.67 7.7 7.19 8.10833333333333
"93" "Manche Nord" 123 2 444372 "TROUVILLE DEAUVILLE" 8.57 9.03 8.6 8.26 7.71 6.82 8.165
"94" "Manche Nord" 123 2 343004 "VALENCIENNES" 8.26 8.67 7.61 7.58 7.22 7.82 7.86
"95" "Nelle Aquitaine" 123 2 586008 "AGEN" 8.14 8.72 8.24 7.64 7.7 8.22 8.11
"96" "Nelle Aquitaine" 123 2 583005 "ANGOULEME" 9 8.78 8.95 8.57 8.25 8.53 8.68
"97" "Nelle Aquitaine" 123 2 673004 "BAYONNE" 8.59 8.13 8.44 8.11 7.5 7.57 8.05666666666667
"98" "Nelle Aquitaine" 123 2 673400 "BIARRITZ" 8.2 8.48 8.76 8.16 7.48 8.03 8.185
"99" "Nelle Aquitaine" 24 3 581009 "BORDEAUX ST JEAN" 8.59 8.52 8.39 8.02 7.75 7.94 8.20166666666667
"100" "Nelle Aquitaine" 123 2 594002 "BRIVE LA GAILLARDE" 9.02 9.08 8.92 8.83 8.39 8.6 8.80666666666667
"101" "Nelle Aquitaine" 123 2 575142 "CHATELLERAULT" 8.58 8.69 8.6 8.45 7.99 8.42 8.455
"102" "Nelle Aquitaine" 123 2 673202 "DAX" 8.58 8.4 8.43 7.9 7.69 7.68 8.11333333333333
"103" "Nelle Aquitaine" 123 2 485003 "LA ROCHELLE VILLE" 8.08 8.22 8.12 7.91 7.88 7.61 7.97
"104" "Nelle Aquitaine" 123 2 584052 "LIBOURNE" 8.56 8.67 7.75 7.62 7.38 8.18 8.02666666666667
"105" "Nelle Aquitaine" 123 2 592006 "LIMOGES BENEDICTINS" 8.57 8.71 8.58 8.15 8.13 7.65 8.29833333333333
"106" "Nelle Aquitaine" 123 2 485300 "NIORT" 8.57 8.22 8.52 8.26 7.94 8.37 8.31333333333333
"107" "Nelle Aquitaine" 123 2 672006 "PAU" 9.04 8.69 9.01 8.36 8.2 8.47 8.62833333333333
"108" "Nelle Aquitaine" 123 2 575001 "POITIERS" 8.65 8.44 8.11 7.8 7.4 8.02 8.07
